year;industry;value
2004.0;     Non-residential Building Construction;10900.0
2004.0;  Heavy and Civil Engineering Construction;16200.0
2004.0;     Utility System Construction;4600.0
2004.0;     Land Subdivision;1900.0
2004.0;     Highway, Street and Bridge Construction;8100.0
2004.0;     Other Heavy and Civil Engineering Construction;1600.0
2004.0;   Trade Contracting;91600.0
2004.0;     Foundation Structure and Building Exterior Contractors;15200.0
2004.0;     Building Equipment Contractors;27500.0
2004.0;     Building Finishing Contractors;30500.0
2004.0;     Other Specialty Trade Contractors;18400.0
2004.0;Manufacturing;208400.0
2004.0;   Food Manufacturing;25400.0
2004.0;   Beverage and Tobacco Product Manufacturing;5700.0
2004.0;   Textile Mills & Textile Product Mills;2000.0
2004.0;   Clothing Manufacturing & Leather & Allied Product Manufacturing;9500.0
2004.0;   Wood Product Manufacturing;48800.0
2004.0;   Paper Manufacturing;12000.0
2004.0;   Printing and Related Support Activities;7800.0
2004.0;   Petroleum and Coal Products Manufacturing;
2004.0;   Chemical Manufacturing;8400.0
2004.0;   Plastics and Rubber Products Manufacturing;7500.0
2004.0;   Non-Metallic Mineral Product Manufacturing;7600.0
2004.0;   Primary Metal Manufacturing;6700.0
2004.0;   Fabricated Metal Product Manufacturing;14500.0
2004.0;   Machinery Manufacturing;9600.0
2004.0;   Computer and Electronic Product Manufacturing;9900.0
2004.0;   Electrical Equipment, Appliance and Component Manufacturing;3900.0
2004.0;   Transportation Equipment Manufacturing;11500.0
2004.0;      Motor Vehicle, Body, Trailer & Parts Manufacturing;2900.0
2004.0;      Other Transportation Equipment Manufacturing;8600.0
2004.0;   Furniture and Related Product Manufacturing;5200.0
2004.0;   Miscellaneous Manufacturing;11500.0
2004.0;  Durables;129100.0
2004.0;  Non-durables;79200.0
2004.0;Services-Producing Sector;1597100.0
2004.0;Trade;313000.0
2004.0;   Wholesale;65500.0
2004.0;      Farm Product Wholesaler-Distributors;
2004.0;      Petroleum Product Wholesaler-Distributors;
2004.0;      Food, Beverage and Tobacco Wholesaler-Distributors;11200.0
2004.0;      Personal and Household Goods Wholesaler-Distributors;8700.0
2004.0;      Motor Vehicle and Parts Wholesaler-Distributors;5900.0
2004.0;      Building Material and Supplies Wholesaler-Distributors;7900.0
2004.0;      Machinery, Equipment and Supplies Wholesaler-Distributors;16700.0
2004.0;      Miscellaneous Wholesaler-Distributors & Wholesale Agents & Brokers;13000.0
2004.0;   Retail;247500.0
2004.0;      Motor Vehicle and Parts Dealers;25900.0
2004.0;      Furniture and Home Furnishings Stores;6900.0
2004.0;      Electronics and Appliance Stores;11700.0
2004.0;      Building Material and Garden Equipment and Supplies Dealers;13200.0
2004.0;      Food and Beverage Stores;65100.0
2004.0;      Health and Personal Care Stores;12900.0
2004.0;      Gasoline Stations;11400.0
2004.0;      Clothing and Clothing Accessories Stores;24800.0
2004.0;      Sporting Goods, Hobby, Book and Music Stores;13500.0
2004.0;      General Merchandise Stores;28600.0
2004.0;      Miscellaneous Store Retailers;25600.0
2004.0;      Non-Store Retailers;7700.0
2004.0;Transportation and Warehousing;112600.0
2004.0;   Transportation;108000.0
2004.0;      Air Transportation;11500.0
2004.0;      Rail Transportation;7700.0
2004.0;      Water Transportation;5400.0
2004.0;      Truck Transportation;30700.0
2004.0;      Transit and Ground Passenger Transportation;15300.0
2004.0;      Pipeline Transportation;
2004.0;      Scenic and Sightseeing Transportation & Support Activities for Transportation;19600.0
2004.0;      Postal Service;7600.0
2004.0;      Couriers and Messengers;10000.0
2004.0;   Warehousing and Storage;4600.0
2004.0;Finance, Insurance, Real Estate and Leasing;127900.0
2004.0;   Monetary Authorities - Central Bank & Credit Intermediation and Related Activities;40200.0
2004.0;   Securities, Commodity Contracts, and Other Intermediation and Related Activities;14900.0
2004.0;    Insurance Carriers & Related Activities and Funds & Other Financial Vehicles;26700.0
2004.0;   Real Estate;34800.0
2004.0;   Rental & Leasing Services and Owners & Lessors of Other Non-Financial Assets;11300.0
2004.0;Professional, Scientific and Technical Services;143100.0
2004.0;   Legal Services;17800.0
2004.0;   Accounting and Tax Preparation;20700.0
2004.0;   Architectural, Engineering and Design Services;35200.0
2004.0;   Computer System Design Services;31600.0
2004.0;   Management, Scientific and Technical Services;23500.0
2004.0;   Advertising and Related Services;6700.0
2004.0;   Other Professional Services;7800.0
2004.0;Business, Building and Other Support Services;79600.0
2004.0;   Employment Services;5000.0
2004.0;   Business Services;8300.0
2004.0;   Travelling Services;11700.0
2004.0;   Security Services;9800.0
2004.0;   Building Services;35600.0
2004.0;   Management of Enterprises and Other Administrative Services;4300.0
2004.0;   Waste Management and Remediation Services;4800.0
2004.0;Educational Services;132400.0
2004.0;   Primary and Secondary;75600.0
2004.0;   Post-Secondary;14800.0
2004.0;   University;23600.0
2004.0;   Other Schools and Educational Support;18400.0
2004.0;Health Care and Social Assistance;216700.0
2004.0;   Ambulatory Health Care Services;51300.0
2004.0;   Hospitals;77300.0
2004.0;   Nursing and Residential Care Facilities;31700.0
2004.0;   Social Assistance;56500.0
2004.0;Information, culture and recreation;109800.0
2004.0;   Publishing Industries;14500.0
2004.0;   Motion Picture and Sound Recording Industries;10500.0
2004.0;   Broadcasting and Telecommunications;24400.0
2004.0;   Information Services and Data Processing Services;5300.0
2004.0;   Performing Arts, Spectator Sports and Related Industries;20600.0
2004.0;   Heritage Institutions;2400.0
2004.0;   Amusement, Gambling and Recreation Industries;32100.0
2004.0;Accommodation and food services;170000.0
2004.0;   Accommodation Services;39700.0
2004.0;   Food Services and Drinking Places;130300.0
2004.0;Other services;92700.0
2004.0;   Repair and Maintenance;32400.0
2004.0;   Personal and Laundry Services;29600.0
2004.0;   Religious, Grant-Making, Civic, and Professional and Similar Organizations;18100.0
2004.0;   Private Households;12600.0
2004.0;Public administration;99100.0
2004.0;   Federal Government Public Administration (including Defence Services);34700.0
2004.0;   Provincial and Territorial Public Administration;29700.0
2004.0;   Local, Municipal & Regional Public Administration and Aboriginal, Inter & Other Extra-Territorial Public Admin;34700.0
2005.0;All industries;2089700.0
2005.0;Goods-Producing Sector;445100.0
2005.0;Agriculture;38300.0
2005.0;   Crop Production;19600.0
2005.0;   Animal Production;14200.0
2005.0;   Mix farming;3000.0
2005.0;   Support Activities for Agriculture;1500.0
2005.0;Forestry, fishing, mining, quarrying, oil and gas;37500.0
2005.0;   Forestry and Logging with support activities;21600.0
2005.0;   Fishing, Hunting and Trapping;2100.0
2005.0;   Mining and Oil and Gas Extraction;13800.0
2005.0;      Oil and Gas Extraction;2500.0
2005.0;      Mining (except Oil and Gas) & Mix Mining;7000.0
2005.0;      Support Activities for Mining and Oil and Gas Extraction;4400.0
2005.0;Utilities;10200.0
2005.0;Construction;165800.0
2005.0;  Construction of Buildings;51200.0
2005.0;     Residential Building Construction;40700.0
2005.0;     Non-residential Building Construction;10500.0
2005.0;  Heavy and Civil Engineering Construction;14100.0
2005.0;     Utility System Construction;3100.0
2005.0;     Land Subdivision;2500.0
2005.0;     Highway, Street and Bridge Construction;7800.0
2005.0;     Other Heavy and Civil Engineering Construction;
2005.0;   Trade Contracting;100500.0
2005.0;     Foundation Structure and Building Exterior Contractors;25500.0
2005.0;     Building Equipment Contractors;29800.0
2005.0;     Building Finishing Contractors;29800.0
2005.0;     Other Specialty Trade Contractors;15400.0
2005.0;Manufacturing;193400.0
2005.0;   Food Manufacturing;25900.0
2005.0;   Beverage and Tobacco Product Manufacturing;5000.0
2005.0;   Textile Mills & Textile Product Mills;2100.0
2005.0;   Clothing Manufacturing & Leather & Allied Product Manufacturing;5100.0
2005.0;   Wood Product Manufacturing;47400.0
2005.0;   Paper Manufacturing;11900.0
2005.0;   Printing and Related Support Activities;7700.0
2005.0;   Petroleum and Coal Products Manufacturing;
2005.0;   Chemical Manufacturing;6300.0
2005.0;   Plastics and Rubber Products Manufacturing;6700.0
2005.0;   Non-Metallic Mineral Product Manufacturing;6400.0
2005.0;   Primary Metal Manufacturing;6500.0
2005.0;   Fabricated Metal Product Manufacturing;17600.0
2005.0;   Machinery Manufacturing;9700.0
2005.0;   Computer and Electronic Product Manufacturing;7800.0
2005.0;   Electrical Equipment, Appliance and Component Manufacturing;3000.0
2005.0;   Transportation Equipment Manufacturing;9000.0
2005.0;      Motor Vehicle, Body, Trailer & Parts Manufacturing;3400.0
2005.0;      Other Transportation Equipment Manufacturing;5600.0
2005.0;   Furniture and Related Product Manufacturing;5300.0
2005.0;   Miscellaneous Manufacturing;9600.0
2005.0;  Durables;122400.0
2005.0;  Non-durables;71000.0
2005.0;Services-Producing Sector;1644600.0
2005.0;Trade;329800.0
2005.0;   Wholesale;78500.0
2005.0;      Farm Product Wholesaler-Distributors;
2005.0;      Petroleum Product Wholesaler-Distributors;
2005.0;      Food, Beverage and Tobacco Wholesaler-Distributors;13300.0
2005.0;      Personal and Household Goods Wholesaler-Distributors;9500.0
2005.0;      Motor Vehicle and Parts Wholesaler-Distributors;7000.0
2005.0;      Building Material and Supplies Wholesaler-Distributors;10800.0
2005.0;      Machinery, Equipment and Supplies Wholesaler-Distributors;19800.0
2005.0;      Miscellaneous Wholesaler-Distributors & Wholesale Agents & Brokers;16100.0
2005.0;   Retail;251300.0
2005.0;      Motor Vehicle and Parts Dealers;24100.0
2005.0;      Furniture and Home Furnishings Stores;8100.0
2005.0;      Electronics and Appliance Stores;10200.0
2005.0;      Building Material and Garden Equipment and Supplies Dealers;19500.0
2005.0;      Food and Beverage Stores;67000.0
2005.0;      Health and Personal Care Stores;16400.0
2005.0;      Gasoline Stations;10200.0
2005.0;      Clothing and Clothing Accessories Stores;21900.0
2005.0;      Sporting Goods, Hobby, Book and Music Stores;13200.0
2005.0;      General Merchandise Stores;28500.0
2005.0;      Miscellaneous Store Retailers;24000.0
2005.0;      Non-Store Retailers;8000.0
2005.0;Transportation and Warehousing;116300.0
2005.0;   Transportation;111700.0
2005.0;      Air Transportation;13200.0
2005.0;      Rail Transportation;6000.0
2005.0;      Water Transportation;5200.0
2005.0;      Truck Transportation;34800.0
2005.0;      Transit and Ground Passenger Transportation;16700.0
2005.0;      Pipeline Transportation;
2005.0;      Scenic and Sightseeing Transportation & Support Activities for Transportation;18100.0
2005.0;      Postal Service;8100.0
2005.0;      Couriers and Messengers;9100.0
2005.0;   Warehousing and Storage;4600.0
2005.0;Finance, Insurance, Real Estate and Leasing;131200.0
2005.0;   Monetary Authorities - Central Bank & Credit Intermediation and Related Activities;45400.0
2005.0;   Securities, Commodity Contracts, and Other Intermediation and Related Activities;13600.0
2005.0;    Insurance Carriers & Related Activities and Funds & Other Financial Vehicles;25500.0
2005.0;   Real Estate;34300.0
2005.0;   Rental & Leasing Services and Owners & Lessors of Other Non-Financial Assets;12500.0
2005.0;Professional, Scientific and Technical Services;159100.0
2005.0;   Legal Services;22400.0
2005.0;   Accounting and Tax Preparation;23900.0
2005.0;   Architectural, Engineering and Design Services;42800.0
2005.0;   Computer System Design Services;31500.0
2005.0;   Management, Scientific and Technical Services;22900.0
2005.0;   Advertising and Related Services;8400.0
2005.0;   Other Professional Services;7300.0
2005.0;Business, Building and Other Support Services;89500.0
2005.0;   Employment Services;4900.0
2005.0;   Business Services;12600.0
2005.0;   Travelling Services;9900.0
2005.0;   Security Services;14400.0
2005.0;   Building Services;36300.0
2005.0;   Management of Enterprises and Other Administrative Services;7200.0
2005.0;   Waste Management and Remediation Services;4100.0
2005.0;Educational Services;143200.0
2005.0;   Primary and Secondary;81700.0
2005.0;   Post-Secondary;13600.0
2005.0;   University;26900.0
2005.0;   Other Schools and Educational Support;21000.0
2005.0;Health Care and Social Assistance;212800.0
2005.0;   Ambulatory Health Care Services;58300.0
2005.0;   Hospitals;71000.0
2005.0;   Nursing and Residential Care Facilities;36100.0
2005.0;   Social Assistance;47300.0
2005.0;Information, culture and recreation;109200.0
2005.0;   Publishing Industries;15300.0
2005.0;   Motion Picture and Sound Recording Industries;9000.0
2005.0;   Broadcasting and Telecommunications;22500.0
2005.0;   Information Services and Data Processing Services;7600.0
2005.0;   Performing Arts, Spectator Sports and Related Industries;19100.0
2005.0;   Heritage Institutions;3500.0
2005.0;   Amusement, Gambling and Recreation Industries;32200.0
2005.0;Accommodation and food services;171700.0
2005.0;   Accommodation Services;38000.0
2005.0;   Food Services and Drinking Places;133800.0
2005.0;Other services;88400.0
2005.0;   Repair and Maintenance;32600.0
2005.0;   Personal and Laundry Services;29000.0
2005.0;   Religious, Grant-Making, Civic, and Professional and Similar Organizations;16600.0
2005.0;   Private Households;10300.0
2005.0;Public administration;93200.0
2005.0;   Federal Government Public Administration (including Defence Services);32200.0
2005.0;   Provincial and Territorial Public Administration;29400.0
2005.0;   Local, Municipal & Regional Public Administration and Aboriginal, Inter & Other Extra-Territorial Public Admin;31500.0
2006.0;All industries;2140800.0
2006.0;Goods-Producing Sector;452700.0
2006.0;Agriculture;34900.0
2006.0;   Crop Production;18600.0
2006.0;   Animal Production;12200.0
2006.0;   Mix farming;2500.0
2006.0;   Support Activities for Agriculture;1600.0
2006.0;Forestry, fishing, mining, quarrying, oil and gas;43500.0
2006.0;   Forestry and Logging with support activities;21700.0
2006.0;   Fishing, Hunting and Trapping;2700.0
2006.0;   Mining and Oil and Gas Extraction;19100.0
2006.0;      Oil and Gas Extraction;3600.0
2006.0;      Mining (except Oil and Gas) & Mix Mining;8000.0
2006.0;      Support Activities for Mining and Oil and Gas Extraction;7500.0
2006.0;Utilities;8200.0
2006.0;Construction;174700.0
2006.0;  Construction of Buildings;46100.0
2006.0;     Residential Building Construction;38700.0
2006.0;     Non-residential Building Construction;7500.0
2006.0;  Heavy and Civil Engineering Construction;18200.0
2006.0;     Utility System Construction;3300.0
2006.0;     Land Subdivision;3500.0
2006.0;     Highway, Street and Bridge Construction;9200.0
2006.0;     Other Heavy and Civil Engineering Construction;2100.0
2006.0;   Trade Contracting;110400.0
2006.0;     Foundation Structure and Building Exterior Contractors;20500.0
2006.0;     Building Equipment Contractors;33400.0
2006.0;     Building Finishing Contractors;35500.0
2006.0;     Other Specialty Trade Contractors;21000.0
2006.0;Manufacturing;191300.0
2006.0;   Food Manufacturing;18800.0
2006.0;   Beverage and Tobacco Product Manufacturing;4700.0
2006.0;   Textile Mills & Textile Product Mills;
2006.0;   Clothing Manufacturing & Leather & Allied Product Manufacturing;6000.0
2006.0;   Wood Product Manufacturing;47400.0
2006.0;   Paper Manufacturing;14700.0
2006.0;   Printing and Related Support Activities;7900.0
2006.0;   Petroleum and Coal Products Manufacturing;
2006.0;   Chemical Manufacturing;5800.0
2006.0;   Plastics and Rubber Products Manufacturing;7300.0
2006.0;   Non-Metallic Mineral Product Manufacturing;8100.0
2006.0;   Primary Metal Manufacturing;6600.0
2006.0;   Fabricated Metal Product Manufacturing;14700.0
2006.0;   Machinery Manufacturing;8700.0
2006.0;   Computer and Electronic Product Manufacturing;8000.0
2006.0;   Electrical Equipment, Appliance and Component Manufacturing;3100.0
2006.0;   Transportation Equipment Manufacturing;9400.0
2006.0;      Motor Vehicle, Body, Trailer & Parts Manufacturing;3900.0
2006.0;      Other Transportation Equipment Manufacturing;5500.0
2006.0;   Furniture and Related Product Manufacturing;6100.0
2006.0;   Miscellaneous Manufacturing;12600.0
2006.0;  Durables;124700.0
2006.0;  Non-durables;66600.0
2006.0;Services-Producing Sector;1688100.0
2006.0;Trade;343300.0
2006.0;   Wholesale;80300.0
2006.0;      Farm Product Wholesaler-Distributors;
2006.0;      Petroleum Product Wholesaler-Distributors;
2006.0;      Food, Beverage and Tobacco Wholesaler-Distributors;12800.0
2006.0;      Personal and Household Goods Wholesaler-Distributors;8900.0
2006.0;      Motor Vehicle and Parts Wholesaler-Distributors;8800.0
2006.0;      Building Material and Supplies Wholesaler-Distributors;12300.0
2006.0;      Machinery, Equipment and Supplies Wholesaler-Distributors;21300.0
2006.0;      Miscellaneous Wholesaler-Distributors & Wholesale Agents & Brokers;14900.0
2006.0;   Retail;262900.0
2006.0;      Motor Vehicle and Parts Dealers;27700.0
2006.0;      Furniture and Home Furnishings Stores;11800.0
2006.0;      Electronics and Appliance Stores;11500.0
2006.0;      Building Material and Garden Equipment and Supplies Dealers;20000.0
2006.0;      Food and Beverage Stores;66800.0
2006.0;      Health and Personal Care Stores;18200.0
2006.0;      Gasoline Stations;11600.0
2006.0;      Clothing and Clothing Accessories Stores;24600.0
2006.0;      Sporting Goods, Hobby, Book and Music Stores;12400.0
2006.0;      General Merchandise Stores;26700.0
2006.0;      Miscellaneous Store Retailers;24200.0
2006.0;      Non-Store Retailers;7400.0
2006.0;Transportation and Warehousing;115800.0
2006.0;   Transportation;109400.0
2006.0;      Air Transportation;12400.0
2006.0;      Rail Transportation;4200.0
2006.0;      Water Transportation;5900.0
2006.0;      Truck Transportation;32800.0
2006.0;      Transit and Ground Passenger Transportation;15100.0
2006.0;      Pipeline Transportation;
2006.0;      Scenic and Sightseeing Transportation & Support Activities for Transportation;19300.0
2006.0;      Postal Service;9200.0
2006.0;      Couriers and Messengers;9700.0
2006.0;   Warehousing and Storage;6400.0
2006.0;Finance, Insurance, Real Estate and Leasing;133200.0
2006.0;   Monetary Authorities - Central Bank & Credit Intermediation and Related Activities;41600.0
2006.0;   Securities, Commodity Contracts, and Other Intermediation and Related Activities;17500.0
2006.0;    Insurance Carriers & Related Activities and Funds & Other Financial Vehicles;25600.0
2006.0;   Real Estate;38300.0
2006.0;   Rental & Leasing Services and Owners & Lessors of Other Non-Financial Assets;10300.0
2006.0;Professional, Scientific and Technical Services;164000.0
2006.0;   Legal Services;20500.0
2006.0;   Accounting and Tax Preparation;19600.0
2006.0;   Architectural, Engineering and Design Services;48000.0
2006.0;   Computer System Design Services;36400.0
2006.0;   Management, Scientific and Technical Services;23600.0
2006.0;   Advertising and Related Services;7900.0
2006.0;   Other Professional Services;8000.0
2006.0;Business, Building and Other Support Services;95600.0
2006.0;   Employment Services;8100.0
2006.0;   Business Services;11800.0
2006.0;   Travelling Services;9100.0
2006.0;   Security Services;12000.0
2006.0;   Building Services;42400.0
2006.0;   Management of Enterprises and Other Administrative Services;5200.0
2006.0;   Waste Management and Remediation Services;6900.0
2006.0;Educational Services;153200.0
2006.0;   Primary and Secondary;84000.0
2006.0;   Post-Secondary;16100.0
2006.0;   University;34700.0
2006.0;   Other Schools and Educational Support;18500.0
2006.0;Health Care and Social Assistance;227700.0
2006.0;   Ambulatory Health Care Services;58100.0
2006.0;   Hospitals;85600.0
2006.0;   Nursing and Residential Care Facilities;35200.0
2006.0;   Social Assistance;48800.0
2006.0;Information, culture and recreation;109200.0
2006.0;   Publishing Industries;14400.0
2006.0;   Motion Picture and Sound Recording Industries;11800.0
2006.0;   Broadcasting and Telecommunications;22400.0
2006.0;   Information Services and Data Processing Services;5300.0
2006.0;   Performing Arts, Spectator Sports and Related Industries;18800.0
2006.0;   Heritage Institutions;2300.0
2006.0;   Amusement, Gambling and Recreation Industries;34200.0
2006.0;Accommodation and food services;167400.0
2006.0;   Accommodation Services;34300.0
2006.0;   Food Services and Drinking Places;133100.0
2006.0;Other services;89000.0
2006.0;   Repair and Maintenance;33800.0
2006.0;   Personal and Laundry Services;29700.0
2006.0;   Religious, Grant-Making, Civic, and Professional and Similar Organizations;16700.0
2006.0;   Private Households;8800.0
2006.0;Public administration;89900.0
2006.0;   Federal Government Public Administration (including Defence Services);34400.0
2006.0;   Provincial and Territorial Public Administration;26600.0
2006.0;   Local, Municipal & Regional Public Administration and Aboriginal, Inter & Other Extra-Territorial Public Admin;28900.0
2007.0;All industries;2206000.0
2007.0;Goods-Producing Sector;480600.0
2007.0;Agriculture;34900.0
2007.0;   Crop Production;16100.0
2007.0;   Animal Production;14400.0
2007.0;   Mix farming;3200.0
2007.0;   Support Activities for Agriculture;
2007.0;Forestry, fishing, mining, quarrying, oil and gas;46700.0
2007.0;   Forestry and Logging with support activities;24100.0
2007.0;   Fishing, Hunting and Trapping;2900.0
2007.0;   Mining and Oil and Gas Extraction;19700.0
2007.0;      Oil and Gas Extraction;1800.0
2007.0;      Mining (except Oil and Gas) & Mix Mining;9900.0
2007.0;      Support Activities for Mining and Oil and Gas Extraction;8000.0
2007.0;Utilities;9900.0
2007.0;Construction;191700.0
2007.0;  Construction of Buildings;45900.0
2007.0;     Residential Building Construction;34800.0
2007.0;     Non-residential Building Construction;11000.0
2007.0;  Heavy and Civil Engineering Construction;18800.0
2007.0;     Utility System Construction;3500.0
2007.0;     Land Subdivision;3700.0
2007.0;     Highway, Street and Bridge Construction;9800.0
2007.0;     Other Heavy and Civil Engineering Construction;1900.0
2007.0;   Trade Contracting;127000.0
2007.0;     Foundation Structure and Building Exterior Contractors;24700.0
2007.0;     Building Equipment Contractors;43500.0
2007.0;     Building Finishing Contractors;33400.0
2007.0;     Other Specialty Trade Contractors;25400.0
2007.0;Manufacturing;197400.0
2007.0;   Food Manufacturing;22000.0
2007.0;   Beverage and Tobacco Product Manufacturing;5200.0
2007.0;   Textile Mills & Textile Product Mills;1600.0
2007.0;   Clothing Manufacturing & Leather & Allied Product Manufacturing;6900.0
2007.0;   Wood Product Manufacturing;47200.0
2007.0;   Paper Manufacturing;14900.0
2007.0;   Printing and Related Support Activities;6000.0
2007.0;   Petroleum and Coal Products Manufacturing;
2007.0;   Chemical Manufacturing;5500.0
2007.0;   Plastics and Rubber Products Manufacturing;8700.0
2007.0;   Non-Metallic Mineral Product Manufacturing;8100.0
2007.0;   Primary Metal Manufacturing;5800.0
2007.0;   Fabricated Metal Product Manufacturing;15100.0
2007.0;   Machinery Manufacturing;8600.0
2007.0;   Computer and Electronic Product Manufacturing;7000.0
2007.0;   Electrical Equipment, Appliance and Component Manufacturing;2600.0
2007.0;   Transportation Equipment Manufacturing;12000.0
2007.0;      Motor Vehicle, Body, Trailer & Parts Manufacturing;4500.0
2007.0;      Other Transportation Equipment Manufacturing;7500.0
2007.0;   Furniture and Related Product Manufacturing;6900.0
2007.0;   Miscellaneous Manufacturing;12700.0
2007.0;  Durables;126000.0
2007.0;  Non-durables;71500.0
2007.0;Services-Producing Sector;1725400.0
2007.0;Trade;353200.0
2007.0;   Wholesale;79200.0
2007.0;      Farm Product Wholesaler-Distributors;
2007.0;      Petroleum Product Wholesaler-Distributors;
2007.0;      Food, Beverage and Tobacco Wholesaler-Distributors;11900.0
2007.0;      Personal and Household Goods Wholesaler-Distributors;6400.0
2007.0;      Motor Vehicle and Parts Wholesaler-Distributors;8800.0
2007.0;      Building Material and Supplies Wholesaler-Distributors;12700.0
2007.0;      Machinery, Equipment and Supplies Wholesaler-Distributors;21700.0
2007.0;      Miscellaneous Wholesaler-Distributors & Wholesale Agents & Brokers;15300.0
2007.0;   Retail;274000.0
2007.0;      Motor Vehicle and Parts Dealers;28800.0
2007.0;      Furniture and Home Furnishings Stores;12600.0
2007.0;      Electronics and Appliance Stores;10000.0
2007.0;      Building Material and Garden Equipment and Supplies Dealers;19200.0
2007.0;      Food and Beverage Stores;76900.0
2007.0;      Health and Personal Care Stores;19500.0
2007.0;      Gasoline Stations;8600.0
2007.0;      Clothing and Clothing Accessories Stores;27300.0
2007.0;      Sporting Goods, Hobby, Book and Music Stores;15000.0
2007.0;      General Merchandise Stores;29300.0
2007.0;      Miscellaneous Store Retailers;19900.0
2007.0;      Non-Store Retailers;6900.0
2007.0;Transportation and Warehousing;121700.0
2007.0;   Transportation;114800.0
2007.0;      Air Transportation;14000.0
2007.0;      Rail Transportation;4700.0
2007.0;      Water Transportation;5500.0
2007.0;      Truck Transportation;33600.0
2007.0;      Transit and Ground Passenger Transportation;16400.0
2007.0;      Pipeline Transportation;
2007.0;      Scenic and Sightseeing Transportation & Support Activities for Transportation;21700.0
2007.0;      Postal Service;9100.0
2007.0;      Couriers and Messengers;9600.0
2007.0;   Warehousing and Storage;6900.0
2007.0;Finance, Insurance, Real Estate and Leasing;141400.0
2007.0;   Monetary Authorities - Central Bank & Credit Intermediation and Related Activities;50400.0
2007.0;   Securities, Commodity Contracts, and Other Intermediation and Related Activities;16400.0
2007.0;    Insurance Carriers & Related Activities and Funds & Other Financial Vehicles;28500.0
2007.0;   Real Estate;36700.0
2007.0;   Rental & Leasing Services and Owners & Lessors of Other Non-Financial Assets;9400.0
2007.0;Professional, Scientific and Technical Services;164100.0
2007.0;   Legal Services;17600.0
2007.0;   Accounting and Tax Preparation;22000.0
2007.0;   Architectural, Engineering and Design Services;40900.0
2007.0;   Computer System Design Services;32400.0
2007.0;   Management, Scientific and Technical Services;30600.0
2007.0;   Advertising and Related Services;10200.0
2007.0;   Other Professional Services;10500.0
2007.0;Business, Building and Other Support Services;95500.0
2007.0;   Employment Services;5900.0
2007.0;   Business Services;12700.0
2007.0;   Travelling Services;10900.0
2007.0;   Security Services;12500.0
2007.0;   Building Services;42900.0
2007.0;   Management of Enterprises and Other Administrative Services;6200.0
2007.0;   Waste Management and Remediation Services;4400.0
2007.0;Educational Services;154300.0
2007.0;   Primary and Secondary;87100.0
2007.0;   Post-Secondary;13100.0
2007.0;   University;32800.0
2007.0;   Other Schools and Educational Support;21300.0
2007.0;Health Care and Social Assistance;231700.0
2007.0;   Ambulatory Health Care Services;62700.0
2007.0;   Hospitals;82800.0
2007.0;   Nursing and Residential Care Facilities;34400.0
2007.0;   Social Assistance;51700.0
2007.0;Information, culture and recreation;113900.0
2007.0;   Publishing Industries;14800.0
2007.0;   Motion Picture and Sound Recording Industries;14100.0
2007.0;   Broadcasting and Telecommunications;24500.0
2007.0;   Information Services and Data Processing Services;5200.0
2007.0;   Performing Arts, Spectator Sports and Related Industries;17700.0
2007.0;   Heritage Institutions;3000.0
2007.0;   Amusement, Gambling and Recreation Industries;34600.0
2007.0;Accommodation and food services;168700.0
2007.0;   Accommodation Services;34300.0
2007.0;   Food Services and Drinking Places;134300.0
2007.0;Other services;86200.0
2007.0;   Repair and Maintenance;33800.0
2007.0;   Personal and Laundry Services;26500.0
2007.0;   Religious, Grant-Making, Civic, and Professional and Similar Organizations;16700.0
2007.0;   Private Households;9100.0
2007.0;Public administration;94700.0
2007.0;   Federal Government Public Administration (including Defence Services);34900.0
2007.0;   Provincial and Territorial Public Administration;26100.0
2007.0;   Local, Municipal & Regional Public Administration and Aboriginal, Inter & Other Extra-Territorial Public Admin;33700.0
2008.0;All industries;2241900.0
2008.0;Goods-Producing Sector;486100.0
2008.0;Agriculture;33800.0
2008.0;   Crop Production;15100.0
2008.0;   Animal Production;15000.0
2008.0;   Mix farming;
2008.0;   Support Activities for Agriculture;2500.0
2008.0;Forestry, fishing, mining, quarrying, oil and gas;43800.0
2008.0;   Forestry and Logging with support activities;17200.0
2008.0;   Fishing, Hunting and Trapping;2100.0
2008.0;   Mining and Oil and Gas Extraction;24500.0
2008.0;      Oil and Gas Extraction;2100.0
2008.0;      Mining (except Oil and Gas) & Mix Mining;13400.0
2008.0;      Support Activities for Mining and Oil and Gas Extraction;9100.0
2008.0;Utilities;12500.0
2008.0;Construction;218100.0
2008.0;  Construction of Buildings;60400.0
2008.0;     Residential Building Construction;48100.0
2008.0;     Non-residential Building Construction;12300.0
2008.0;  Heavy and Civil Engineering Construction;23700.0
2008.0;     Utility System Construction;4200.0
2008.0;     Land Subdivision;5400.0
2008.0;     Highway, Street and Bridge Construction;12100.0
2008.0;     Other Heavy and Civil Engineering Construction;1900.0
2008.0;   Trade Contracting;134000.0
2008.0;     Foundation Structure and Building Exterior Contractors;32700.0
2008.0;     Building Equipment Contractors;45900.0
2008.0;     Building Finishing Contractors;32100.0
2008.0;     Other Specialty Trade Contractors;23300.0
2008.0;Manufacturing;177900.0
2008.0;   Food Manufacturing;23300.0
2008.0;   Beverage and Tobacco Product Manufacturing;5700.0
2008.0;   Textile Mills & Textile Product Mills;
2008.0;   Clothing Manufacturing & Leather & Allied Product Manufacturing;5400.0
